area,ethnic_group,value
North Cape,"Total people, ethnic group",1660
North Cape,European or Other (including New Zealander),900
North Cape,Maori,980
North Cape,Pacific,90
North Cape,Asian,20
North Cape,Middle Eastern/Latin American/African,10
Rangaunu Harbour,"Total people, ethnic group",2410
Rangaunu Harbour,European or Other (including New Zealander),1590
Rangaunu Harbour,Maori,1480
Rangaunu Harbour,Pacific,120
Rangaunu Harbour,Asian,50
Rangaunu Harbour,Middle Eastern/Latin American/African,0
Inlets Far North district,"Total people, ethnic group",50
Inlets Far North district,European or Other (including New Zealander),50
Inlets Far North district,Maori,0
Inlets Far North district,Pacific,0
Inlets Far North district,Asian,0
Inlets Far North district,Middle Eastern/Latin American/African,0
Karikari Peninsula,"Total people, ethnic group",1300
Karikari Peninsula,European or Other (including New Zealander),910
Karikari Peninsula,Maori,590
Karikari Peninsula,Pacific,70
Karikari Peninsula,Asian,20
Karikari Peninsula,Middle Eastern/Latin American/African,0
Tangonge,"Total people, ethnic group",1180
Tangonge,European or Other (including New Zealander),750
Tangonge,Maori,710
Tangonge,Pacific,50
Tangonge,Asian,10
Tangonge,Middle Eastern/Latin American/African,10
Ahipara,"Total people, ethnic group",1270
Ahipara,European or Other (including New Zealander),770
Ahipara,Maori,780
Ahipara,Pacific,80
Ahipara,Asian,30
Ahipara,Middle Eastern/Latin American/African,20
Kaitaia East,"Total people, ethnic group",2500
Kaitaia East,European or Other (including New Zealander),1210
Kaitaia East,Maori,1690
Kaitaia East,Pacific,170
Kaitaia East,Asian,150
Kaitaia East,Middle Eastern/Latin American/African,10
Kaitaia West,"Total people, ethnic group",3620
Kaitaia West,European or Other (including New Zealander),1830
Kaitaia West,Maori,2380
Kaitaia West,Pacific,320
Kaitaia West,Asian,180
Kaitaia West,Middle Eastern/Latin American/African,10
Rangitihi,"Total people, ethnic group",970
Rangitihi,European or Other (including New Zealander),660
Rangitihi,Maori,480
Rangitihi,Pacific,30
Rangitihi,Asian,20
Rangitihi,Middle Eastern/Latin American/African,0
Oruru-Parapara,"Total people, ethnic group",890
Oruru-Parapara,European or Other (including New Zealander),660
Oruru-Parapara,Maori,370
Oruru-Parapara,Pacific,30
Oruru-Parapara,Asian,20
Oruru-Parapara,Middle Eastern/Latin American/African,10
Taumarumaru,"Total people, ethnic group",2280
Taumarumaru,European or Other (including New Zealander),1810
Taumarumaru,Maori,710
Taumarumaru,Pacific,100
Taumarumaru,Asian,80
Taumarumaru,Middle Eastern/Latin American/African,10
Herekino-Takahue,"Total people, ethnic group",1010
Herekino-Takahue,European or Other (including New Zealander),640
Herekino-Takahue,Maori,530
Herekino-Takahue,Pacific,40
Herekino-Takahue,Asian,10
Herekino-Takahue,Middle Eastern/Latin American/African,10
Peria,"Total people, ethnic group",1140
Peria,European or Other (including New Zealander),870
Peria,Maori,470
Peria,Pacific,30
Peria,Asian,30
Peria,Middle Eastern/Latin American/African,0
Taemaro-Oruaiti,"Total people, ethnic group",900
Taemaro-Oruaiti,European or Other (including New Zealander),690
Taemaro-Oruaiti,Maori,360
Taemaro-Oruaiti,Pacific,20
Taemaro-Oruaiti,Asian,30
Taemaro-Oruaiti,Middle Eastern/Latin American/African,0
Whakapaku,"Total people, ethnic group",770
Whakapaku,European or Other (including New Zealander),590
Whakapaku,Maori,360
Whakapaku,Pacific,20
Whakapaku,Asian,10
Whakapaku,Middle Eastern/Latin American/African,0
Hokianga North,"Total people, ethnic group",830
Hokianga North,European or Other (including New Zealander),210
Hokianga North,Maori,720
Hokianga North,Pacific,70
Hokianga North,Asian,10
Hokianga North,Middle Eastern/Latin American/African,0
Kohukohu-Broadwood,"Total people, ethnic group",760
Kohukohu-Broadwood,European or Other (including New Zealander),470
Kohukohu-Broadwood,Maori,410
Kohukohu-Broadwood,Pacific,60
Kohukohu-Broadwood,Asian,30
Kohukohu-Broadwood,Middle Eastern/Latin American/African,0
Whakarara,"Total people, ethnic group",1390
Whakarara,European or Other (including New Zealander),810
Whakarara,Maori,830
Whakarara,Pacific,60
Whakarara,Asian,30
Whakarara,Middle Eastern/Latin American/African,0
Kaeo,"Total people, ethnic group",1240
Kaeo,European or Other (including New Zealander),810
Kaeo,Maori,640
Kaeo,Pacific,60
Kaeo,Asian,10
Kaeo,Middle Eastern/Latin American/African,0
Omahuta Forest-Horeke,"Total people, ethnic group",1100
Omahuta Forest-Horeke,European or Other (including New Zealander),560
Omahuta Forest-Horeke,Maori,720
Omahuta Forest-Horeke,Pacific,40
Omahuta Forest-Horeke,Asian,20
Omahuta Forest-Horeke,Middle Eastern/Latin American/African,0
Hokianga South,"Total people, ethnic group",1290
Hokianga South,European or Other (including New Zealander),670
Hokianga South,Maori,830
Hokianga South,Pacific,90
Hokianga South,Asian,20
Hokianga South,Middle Eastern/Latin American/African,10
Lake Manuwai-Kapiro,"Total people, ethnic group",2200
Lake Manuwai-Kapiro,European or Other (including New Zealander),2030
Lake Manuwai-Kapiro,Maori,370
Lake Manuwai-Kapiro,Pacific,60
Lake Manuwai-Kapiro,Asian,70
Lake Manuwai-Kapiro,Middle Eastern/Latin American/African,10
Okaihau,"Total people, ethnic group",1290
Okaihau,European or Other (including New Zealander),980
Okaihau,Maori,480
Okaihau,Pacific,70
Okaihau,Asian,20
Okaihau,Middle Eastern/Latin American/African,0
Rangitane-Purerua,"Total people, ethnic group",1550
Rangitane-Purerua,European or Other (including New Zealander),1220
Rangitane-Purerua,Maori,480
