area,value
North Cape,1660
Rangaunu Harbour,2410
Inlets Far North district,50
Karikari Peninsula,1300
Tangonge,1180
Ahipara,1270
Kaitaia East,2500
Kaitaia West,3620
Rangitihi,970
Oruru-Parapara,890
Taumarumaru,2280
Herekino-Takahue,1010
Peria,1140
Taemaro-Oruaiti,900
Whakapaku,770
Hokianga North,830
Kohukohu-Broadwood,760
Whakarara,1390
Kaeo,1240
Omahuta Forest-Horeke,1100
Hokianga South,1290
Lake Manuwai-Kapiro,2200
Okaihau,1290
Rangitane-Purerua,1550
Waipapa,900
Puketotara,1760
Waima Forest,1150
Riverview,2180
Waipoua Forest,1260
Kerikeri Central,2610
Kerikeri South,2640
Ohaeawai-Waimate North,1190
Puketona-Waitangi,1380
Ngapuhi,1860
Kaikohe,4660
Pakaraka,680
Haruru,1110
Russell,780
Paihia,1590
Mataraua Forest,530
Matawaia-Taumarere,1440
Russell Peninsula,620
Opua (Far North district),1180
Russell Forest-Rawhiti,720
Moerewa,1720
Kawakawa,1540
Maromaku,810
Mangakahia-Hukerenui,2000
Whangaruru,2590
Inlets other Whangarei district,10
Matarau,3070
Hikurangi,1720
Kauri,1800
Maungatapere,3570
Kamo West,2260
Matapouri-Tutukaka,1740
Kiripaka,1030
Kamo East,2990
Granfield Reserve,3160
Kamo Central,1740
Whau Valley,2890
Tikipunga North,3110
Pukenui,2110
Otangarei,2210
Tikipunga South,4030
Kensington (Whangarei district),3350
Abbey Caves-Glenbervie,1360
Mairtown,2560
Maunu-Horahora,3420
Woodhill-Vinetown,2980
Whangarei Central,1000
Riverside,2160
Raumanga,3490
Tarewa,2070
Morningside (Whangarei district),2450
Ngunguru,1210
Otaika-Portland,1390
Oakleigh-Mangapai,2380
Port-Limeburners,100
Pataua,1630
Onerahi Park,1640
Sherwood Rise,2540
Onerahi,2530
Inlet Whangarei Harbour,10
Parua Bay,2530
Bream Bay,2140
Marsden Bay,2300
Ruakaka,2660
Bream Head,1440
Waipu,2790
Kaipara Coastal,3830
Maungaru,1840
Dargaville,4940
Ruawai-Matakohe,2530
Otamatea (Kaipara district),1780
Maungaturoto,1320
Kaiwaka,2230
Mangawhai Rural,2180
Mangawhai Heads,2100
Inlet Mangawhai Harbour,0
Mangawhai,1010
Okahukura Peninsula,1540
Inlet Kaipara Harbour South,0
Cape Rodney,3650
Wellsford,2030
Oceanic Auckland Region East,10
South Head,2700
Kaipara Hills,2040
Dome Valley-Matakana,1580
Oceanic Auckland Region West,0
Warkworth West,2570
Puhoi Valley,3810
Warkworth East,3250
Sandspit,1000
Tawharanui Peninsula,2030
Te Kuru,2570
Snells Beach,3540
Barrier Islands,960
Algies Bay-Scotts Landing,1220
Inlets other Auckland,10
Wainui-Waiwera,1740
Parakai,1150
Helensville Rural,1580
Helensville,2910
Waitoki,1600
Waikoukou Valley,1800
Orewa North,4230
Hatfields Beach,1600
Orewa South,3110
Orewa Central,3190
Millwater North,3840
Waipatukahu,1530
Millwater South,2430
Dairy Flat North,1870
Dairy Flat West,1500
Kingsway,2270
Riverhead Forest,0
Silverdale Central (Auckland),310
Red Beach West,2180
Red Beach East,4140
Silverdale South (Auckland),2070
Waimauku,1380
Gulf Islands,110
Vipond,3020
Muriwai,1300
Stanmore Bay West,2820
Kumeu Rural West,1700
Okura Bush,1400
Whangaparaoa Central,3920
Kumeu-Huapai,3580
Stanmore Bay East,2850
Manly West,2450
Muriwai Valley-Bethells Beach,1160
Tindalls-Matakatia,2050
Coatesville,2430
Dairy Flat South,1700
Gulf Harbour North,3080
Manly East,3680
Riverhead,2920
Army Bay,1640
Kumeu Rural East,2120
Gulf Harbour South,2820
Paremoremo West,1040
Taupaki,1680
Long Bay,1460
Paremoremo East,2470
Albany Heights,3400
Awaruku,4620
Fairview Heights,4210
Whenuapai,4130
Waitakere Ranges North,1320
Torbay,4470
Albany Central,590
Albany West,2990
Glamorgan,3420
Oteha East,3430
Northcross,3450
Oteha West,2050
